product_monitor_id,timestamp
2408912,2026-01-28T15:21:30.860600937
2408943,2026-01-28T15:21:30.864489779
2408919,2026-01-28T15:21:30.918114043
2408909,2026-01-28T15:21:30.929119724
2408944,2026-01-28T15:21:30.949812846
2408932,2026-01-28T15:21:30.958158876
2408941,2026-01-28T15:21:30.958766544
2408922,2026-01-28T15:21:30.959648195
2408930,2026-01-28T15:21:30.960378062
2408940,2026-01-28T15:21:30.964853463
2408924,2026-01-28T15:21:30.966793216
2408946,2026-01-28T15:21:30.967029248
2408934,2026-01-28T15:21:31.009405237
2408942,2026-01-28T15:21:31.200992487
2408938,2026-01-28T15:21:31.253352222
2408931,2026-01-28T15:21:31.288563252
2408910,2026-01-28T15:21:31.335647218
2408939,2026-01-28T15:21:31.335965764
2408928,2026-01-28T15:21:31.336146603
2408945,2026-01-28T15:21:31.368394214
2408937,2026-01-28T15:21:31.368678767
2408948,2026-01-28T15:21:31.405987596
2408933,2026-01-28T15:21:31.415509117
2408927,2026-01-28T15:21:31.672170293
2408921,2026-01-28T15:21:31.703627914
2408589,2026-01-28T15:21:31.73899137
2408947,2026-01-28T15:21:31.767599486
2408936,2026-01-28T15:21:31.784708646
2408935,2026-01-28T15:21:31.833063943
2408908,2026-01-28T15:21:37.631866083
2408949,2026-01-28T15:21:37.699553352
2408951,2026-01-28T15:21:37.907945902
2408914,2026-01-28T15:21:38.190361155
2408911,2026-01-28T15:21:38.32465553
2408929,2026-01-28T15:21:38.559636352
2408913,2026-01-28T15:21:38.676709697
2408950,2026-01-28T15:21:38.798284962
